diagnosisYear,ageBand,sex,dep,region,stage,route,count,rate,ciLb,ciUb
2023,0-49,All Persons,All IMD Quintiles,North East,Early,All Routes,#N/A,#N/A,#N/A,#N/A
allyears,0-49,All Persons,All IMD Quintiles,North East,Early,All Routes,0,0.2,0.1,0.3
2016,0-49,All Persons,All IMD Quintiles,North East,Advanced,All Routes,SUPPRESSED; n<10,0.2,0,0.4
2017,0-49,All Persons,All IMD Quintiles,North East,Advanced,All Routes,SUPPRESSED; n<10,0.4,0.1,0.8
2018,0-49,All Persons,All IMD Quintiles,North East,Advanced,All Routes,SUPPRESSED; n<10,0.4,0.1,0.8
2019,0-49,All Persons,All IMD Quintiles,North East,Advanced,All Routes,SUPPRESSED; n<10,0.1,0,0.3
2020,0-49,All Persons,All IMD Quintiles,North East,Advanced,All Routes,SUPPRESSED; n<10,0.1,-0.1,0.2
2021,0-49,All Persons,All IMD Quintiles,North East,Advanced,All Routes,SUPPRESSED; n<10,0.2,0,0.4
2022,0-49,All Persons,All IMD Quintiles,North East,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A
2023,0-49,All Persons,All IMD Quintiles,North East,Advanced,All Routes,#N/A,#N/A,#N/A,#N/A
allyears,0-49,All Persons,All IMD Quintiles,North East,Advanced,All Routes,0,0.2,0.1,0.2
2016,0-49,All Persons,All IMD Quintiles,North West,All Stages,All Routes,15,0.3,0.2,0.5
2017,0-49,All Persons,All IMD Quintiles,North West,All Stages,All Routes,15,0.4,0.2,0.5
2018,0-49,All Persons,All IMD Quintiles,North West,All Stages,All Routes,20,0.4,0.2,0.6
2019,0-49,All Persons,All IMD Quintiles,North West,All Stages,All Routes,15,0.3,0.2,0.5
2020,0-49,All Persons,All IMD Quintiles,North West,All Stages,All Routes,10,0.3,0.1,0.4
2021,0-49,All Persons,All IMD Quintiles,North West,All Stages,All Routes,15,0.3,0.2,0.5
2022,0-49,All Persons,All IMD Quintiles,North West,All Stages,All Routes,10,0.3,0.1,0.4
2023,0-49,All Persons,All IMD Quintiles,North West,All Stages,All Routes,SUPPRESSED; n<10,0.2,0.1,0.3
allyears,0-49,All Persons,All IMD Quintiles,North West,All Stages,All Routes,100,0.4,0.3,0.4
2016,0-49,All Persons,All IMD Quintiles,North West,All Stages,Emergency,SUPPRESSED; n<10,0,0,0.1
2017,0-49,All Persons,All IMD Quintiles,North West,All Stages,Emergency,SUPPRESSED; n<10,0,0,0.1
2018,0-49,All Persons,All IMD Quintiles,North West,All Stages,Emergency,SUPPRESSED; n<10,0,0,0.1
2019,0-49,All Persons,All IMD Quintiles,North West,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,North West,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,North West,All Stages,Emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,North West,All Stages,Emergency,SUPPRESSED; n<10,0,0,0
2023,0-49,All Persons,All IMD Quintiles,North West,All Stages,Emergency,SUPPRESSED; n<10,0,0,0.1
allyears,0-49,All Persons,All IMD Quintiles,North West,All Stages,Emergency,0,0,0,0
2016,0-49,All Persons,All IMD Quintiles,North West,All Stages,Non-emergency,15,0.3,0.1,0.4
2017,0-49,All Persons,All IMD Quintiles,North West,All Stages,Non-emergency,15,0.3,0.2,0.5
2018,0-49,All Persons,All IMD Quintiles,North West,All Stages,Non-emergency,20,0.4,0.2,0.6
2019,0-49,All Persons,All IMD Quintiles,North West,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2020,0-49,All Persons,All IMD Quintiles,North West,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2021,0-49,All Persons,All IMD Quintiles,North West,All Stages,Non-emergency,#N/A,#N/A,#N/A,#N/A
2022,0-49,All Persons,All IMD Quintiles,North West,All Stages,Non-emergency,10,0.3,0.1,0.4
