diagnosisYear,ageBand,sex,dep,region,stage,route,rate,ciLb,ciUb
2018,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,20.53,20.53,20.53
2018,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,35.86,35.86,35.86
2018,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,21.38,21.38,21.38
2019,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,40.18,40.18,40.18
2019,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,32.33,32.33,32.33
2019,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,23.27,23.26,23.27
2019,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,36.65,36.65,36.65
2019,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,30.08,30.08,30.08
2019,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,34.03,34.03,34.03
2019,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,40.42,40.42,40.42
2019,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,16.88,16.88,16.88
2019,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,22.97,22.97,22.97
2019,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,24.67,24.67,24.67
2020,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,18.72,18.72,18.72
2020,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,25.76,25.76,25.76
2020,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,36.99,36.99,36.99
2020,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,37.17,37.17,37.17
2020,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,23.03,23.03,23.03
2020,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,34.08,34.08,34.08
2020,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,20.25,20.25,20.25
2020,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,30.64,30.64,30.64
2020,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,29.05,29.05,29.05
2020,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,27.06,27.06,27.06
2021,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,36.24,36.24,36.24
2021,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,35.03,35.03,35.03
2021,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,38.43,38.43,38.43
2021,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,33.46,33.46,33.46
2021,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,33.32,33.32,33.32
2021,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,35.44,35.44,35.44
2021,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,34.68,34.68,34.68
2021,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,33.22,33.22,33.22
2021,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,47.08,47.08,47.08
2021,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,12.9,12.9,12.9
2022,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,0,0,0
2022,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,0,0,0
2022,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,0,0,0
2022,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,0,0,0
2022,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,0,0,0
2022,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,0,0,0
2022,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,0,0,0
2022,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,0,0,0
2022,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,0,0,0
2022,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,0,0,0
2023,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,0,0,0
2023,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,0,0,0
2023,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,0,0,0
2023,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,0,0,0
2023,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,0,0,0
2023,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,0,0,0
2023,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,0,0,0
2023,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,0,0,0
2023,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,0,0,0
2023,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,0,0,0
allyears,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,22.57,19.46,25.69
allyears,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,23.16,20.21,26.1
allyears,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,21.32,18.61,24.04
allyears,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,21.97,21.04,22.9
allyears,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,29.22,26.31,32.13
allyears,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,18.12,16.03,20.2
allyears,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,15.38,12.96,17.79
allyears,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,22.98,20.18,25.79
allyears,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,25.96,22.78,29.14
allyears,65-69,Male,All IMD Quintiles,All Regions,Early,All Routes,23.91,19.72,28.1
2016,70-74,Male,All IMD Quintiles,All Regions,Early,All Routes,27.34,27.34,27.34
